,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
61,2023-03-03,@,Vegas Golden Knights,3,4,L,SO,,50,2,1,2,0,,27,4,0,1,0,,90,47,65.7,64,34,65.3,30,27,52.6,53.7,90.6
62,2023-03-05,@,Arizona Coyotes,5,4,W,OT,,40,4,1,1,0,,29,2,0,2,0,,63,46,57.8,43,34,55.8,19,26,42.2,80.3,94.9
63,2023-03-07,,Toronto Maple Leafs,3,4,L,,,33,4,1,4,0,,25,8,1,2,1,,50,38,56.8,41,31,56.9,14,27,34.1,50.0,98.1
64,2023-03-09,@,Washington Capitals,3,2,W,SO,,40,4,1,3,0,,22,6,0,2,0,,56,42,57.1,45,27,62.5,30,22,57.7,44.1,92.4
65,2023-03-11,@,Montreal Canadiens,3,1,W,,,37,0,0,0,0,,24,0,0,0,0,,74,52,58.7,48,32,60.0,28,28,50.0,52.6,103.9
66,2023-03-12,,Carolina Hurricanes,3,0,W,,,23,8,0,2,0,,32,6,0,3,0,,39,61,39.0,28,46,37.8,15,30,33.3,26.6,116.7
67,2023-03-14,,Tampa Bay Lightning,1,4,L,,,23,4,0,2,0,,30,4,0,2,1,,52,48,52.0,35,34,50.7,26,16,61.9,45.2,93.5
68,2023-03-16,,Tampa Bay Lightning,3,4,L,SO,,35,6,1,4,0,,24,8,1,3,0,,56,49,53.3,40,31,56.3,26,20,56.5,46.5,98.2
69,2023-03-18,@,Florida Panthers,2,4,L,,,35,8,0,2,1,,41,4,1,4,0,,45,52,46.4,40,38,51.3,20,20,50.0,58.3,93.3
70,2023-03-19,@,Tampa Bay Lightning,5,2,W,,,39,8,0,1,0,,24,2,0,4,0,,62,49,55.9,46,36,56.1,27,15,64.3,50.0,104.0
71,2023-03-21,,Minnesota Wild,1,2,L,OT,,48,2,0,3,0,,29,6,0,1,0,,69,64,51.9,53,48,52.5,17,25,40.5,65.2,95.0
72,2023-03-24,@,Buffalo Sabres,4,5,L,,,31,8,1,3,0,,26,6,1,4,0,,51,32,61.4,38,30,55.9,23,28,45.1,43.6,94.1
73,2023-03-25,,Ottawa Senators,5,3,W,,,35,21,1,2,0,,28,9,0,3,0,,64,54,54.2,48,38,55.8,35,25,58.3,62.3,101.4
74,2023-03-27,@,New York Islanders,1,5,L,,,31,2,0,2,1,,36,4,0,1,1,,60,60,50.0,43,46,48.3,19,28,40.4,74.2,87.9
75,2023-03-30,,New York Rangers,2,1,W,,,31,4,1,2,0,,25,4,1,2,0,,57,43,57.0,40,35,53.3,21,26,44.7,45.5,103.8
76,2023-04-01,@,Chicago Blackhawks,6,3,W,,,40,2,0,1,0,,17,2,0,1,0,,70,29,70.7,49,22,69.0,25,21,54.3,84.6,96.3
77,2023-04-02,@,Winnipeg Jets,1,6,L,,,32,6,1,3,0,,27,6,1,3,0,,59,35,62.8,40,31,56.3,19,25,43.2,71.4,77.3
78,2023-04-04,,Pittsburgh Penguins,5,1,W,,,37,8,1,4,0,,23,8,0,4,0,,49,40,55.1,37,26,58.7,20,18,52.6,43.5,110.4
79,2023-04-06,,Columbus Blue Jackets,8,1,W,,,36,24,2,3,1,,17,20,0,5,0,,54,28,65.9,43,19,69.4,15,19,44.1,52.4,111.5
80,2023-04-08,@,Boston Bruins,1,2,L,,,30,4,0,3,0,,40,10,1,1,0,,40,63,38.8,33,48,40.7,26,35,42.6,36.5,101.0
81,2023-04-11,,Buffalo Sabres,6,2,W,,,30,4,0,2,0,,38,4,0,2,0,,46,66,41.1,37,47,44.0,26,21,55.3,40.0,115.2
82,2023-04-13,@,Washington Capitals,5,4,W,OT,,34,11,1,2,0,,31,11,0,1,0,,75,47,61.5,56,42,57.1,31,29,51.7,54.5,99.2
